Nome Escola,Dependência,Código INEP,Localização,Internet,Matrículas,Energia Adequada,Conexão adequada,Classificação da cobertura,Situação,Prestadora PBLE (Programa de Conectividade nas Escolas),Tecnologia PBLE,Vel. (mbps),Fonte de Monitoramento,Nível de conexão,Latitude,Longitude
E M E I F SAO SEBASTIAO,Municipal,15143198,Rural,Sim,27,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,-,-,50.0,EACE_CONECT_VEL_CONTRATADA,Alguma internet e algum wifi para uso de gestores e professores,-1.5900981,-48.575607
E M E F AGRICOLA DE BARCARENA,Municipal,15143210,Rural,Sim,53,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,100.0,EACE_CONECT_VEL_CONTRATADA,Velocidade adequada e algum wifi para uso de gestores. professores e ocasional uso com alunos em sala de aula,-1.5711015,-48.57141
E M E I F SAO FRANCISCO,Municipal,15143252,Rural,Não,13,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.3809592,-48.595108
CENTRO MUL DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO SANTA JOANA,Municipal,15143538,Urbana,Sim,29,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,OI,ADSL,2.0,PBLE_VEL,Alguma internet para uso de gestores,-1.5077388,-48.617245
E M E I F PROF FRANCISCO DO SOCORRO MAGNO NUNES,Municipal,15157407,Rural,Sim,170,Sim,Não,1. Acesso adequado - fibra,Velocidade não monitorada,CLARO,Rede Celular,0.0,0,Alguma internet para uso de gestores,-1.5332822,-48.703327
E M E I OS TRES PASTORZINHOS,Municipal,15157938,Urbana,Sim,174,Sim,Sim,1. Acesso adequado - fibra,Velocidade adequada,-,-,200.0,PDDE_VEL_CONTRATADA,Escola conectada com parâmetros adequados para uso pedagógico em sala de aula,-1.5128369,-48.60504
CRECHE MUNICIPAL PROFESSORA MARIA SIQUEIRA DOS SANTOS DIAS - TIA BENTA,Municipal,15169766,Urbana,Não,328,Sim,Não,1. Acesso adequado - fibra,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.521638,-48.704685
E M E I F VEREADOR GENARO APOLLARO,Municipal,15171280,Urbana,Sim,789,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,-,-,430.49,VEL_MAX_6M,Alguma internet e algum wifi para uso de gestores e professores,-1.5019641,-48.69516
E M E I F PROF ANA DUTRA DE SOUZA VALE,Municipal,15172082,Urbana,Sim,329,Sim,Sim,1. Acesso adequado - fibra,Velocidade adequada,-,-,400.0,PDDE_VEL_CONTRATADA,Escola conectada com parâmetros adequados para uso pedagógico em sala de aula,-1.5192901,-48.614902
CRECHE MUNICIPAL MARIA LUCIA OGAWA RODRIGUES - TIA LUCIA,Municipal,15172554,Urbana,Sim,442,Sim,Sim,1. Acesso adequado - fibra,Velocidade adequada,-,-,100.0,PDDE_VEL_CONTRATADA,Escola conectada com parâmetros adequados para uso pedagógico em sala de aula,-1.5196817,-48.615242
